"ID","CSys ID","X","Y","Z","1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
187,0,0.078357,0.06,-0.003846,0.00308755,0.000477477,0.0358418
188,0,0.0828786,0.06,-0.003054,0.00238479,-0.000152731,0.0399461
189,0,0.0857301,0.06,-0.002537,0.00191715,-0.000315356,0.0425543
190,0,0.0882791,0.06,-0.002062,0.00148419,-0.000308143,0.0448947
191,0,0.0902988,0.06,-0.001674,0.00112851,-0.000169569,0.0467533
192,0,0.,0.3,0.,-0.00286761,-0.000639507,-0.039827
193,0,0.021,0.,0.,0.,0.,0.
194,0,0.066,0.,0.,0.,0.,0.
195,0,0.021,0.108,0.,-0.00116892,-0.0000770985,-0.00485615
196,0,0.0931096,0.292,-0.001045,0.00406237,-0.000264899,0.303071
197,0,0.021,0.112,0.,-0.00121936,-0.0000780539,-0.00489425
198,0,0.021,0.116,0.,-0.00126091,-0.0000787872,-0.00490683
199,0,0.021,0.12,0.,-0.00130937,-0.0000802664,-0.0048931
200,0,0.0250909,0.12,0.,-0.00128654,-0.0000471853,0.00266683
201,0,0.0291818,0.12,0.,-0.00126933,-0.0000257284,0.0101862
202,0,0.0332727,0.12,0.,-0.00125596,-0.0000151859,0.0176641
203,0,0.0373636,0.12,0.,-0.00124688,-0.0000125143,0.0251113
204,0,0.0414545,0.12,0.,-0.001242,-0.0000147223,0.0325392
205,0,0.0455455,0.12,0.,-0.00124128,-0.0000189978,0.0399588
206,0,0.0496364,0.12,0.,-0.0012447,-0.0000224962,0.0473806
207,0,0.0931147,0.296,-0.001045,0.00144851,0.0000476895,0.321139
208,0,0.0537273,0.12,0.,-0.00125226,-0.0000225139,0.0548158
209,0,0.0578182,0.12,0.,-0.00126426,-0.0000162586,0.0622758
210,0,0.0619091,0.12,0.,-0.00128158,-4.412434E-7,0.0697738
211,0,0.066,0.12,0.,-0.00130675,0.0000332682,0.0772934
212,0,0.066,0.116,0.,-0.0012579,0.0000275527,0.0733993
213,0,0.066,0.112,0.,-0.0012234,0.0000223195,0.0695311
214,0,0.066,0.108,0.,-0.00118661,0.0000197314,0.0656924
215,0,0.0619091,0.108,0.,-0.00120556,2.69663E-7,0.0591822
216,0,0.0578182,0.108,0.,-0.00121928,-0.0000155526,0.0527465
217,0,0.0537273,0.108,0.,-0.00123043,-0.0000225268,0.0463511
218,0,0.0496364,0.108,0.,-0.00123767,-0.0000227504,0.0399801
219,0,0.0455455,0.108,0.,-0.00124069,-0.0000192333,0.0336223
220,0,0.0414545,0.108,0.,-0.0012395,-0.0000149447,0.0272667
221,0,0.0373636,0.108,0.,-0.00123414,-0.0000127371,0.0209028
222,0,0.0332727,0.108,0.,-0.00122461,-0.0000154761,0.0145197
223,0,0.0291818,0.108,0.,-0.00121097,-0.0000259006,0.00810755
224,0,0.0250909,0.108,0.,-0.00119344,-0.0000470049,0.00165708
225,0,0.0250909,0.112,0.,-0.00122271,-0.0000423479,0.00197748
226,0,0.0250909,0.116,0.,-0.00125679,-0.00004281,0.0023083
227,0,0.0291818,0.112,0.,-0.00122928,-0.000022658,0.00878707
228,0,0.0291818,0.116,0.,-0.0012507,-0.0000224912,0.00948001
229,0,0.0332727,0.112,0.,-0.00123402,-0.0000130045,0.0155583
230,0,0.0332727,0.116,0.,-0.00124653,-0.000012917,0.0166065
